"texto","sentimiento"
"Yo un poco igual Nunca me han dicho gusano porque mis simpatías generales están bien a la izquierda pero me he puesto verde en más de una reunión sobre todo con la gente de derecho",0
"En mi comentario dije sólo 1 dólar por cubano es decir usando nada más que llamadas y mensajes es decir un cálculo bien minimalista",0
"lode los mensajes se ha convertido en una guerra publicitaria pero eso es otro tema En fin el objetivo del comentario era generar polemica y al parecer lo logro",0
"De eso se trata sin ser repetitivo cambiar lo que debe ser cambiado ese espiritu de luchar por lo que crees correcto es lo que cuenta",1
"No se cuanto le cuesta la infraestructura a etecsa pero te garantizo que no son 3 pesos con mas datos se podria hacer mas",0
"Lo mismo pienso la pachanga un poco de ron y domino es el entorno perfecto para debatir",0
"Papá q te pasa quien de ustedes a sobrevivido a un turno de Celia sin sueño",0
"Ok Ya se q puedo contar contigo",1
"Ojo Este screenshot lo tiré yo ayer",0
"Eso espero o esto se va a descontrolar",-1
"Alguien me puede decir porque la preocupación",-1
"Dross tambien respondio el tweet de Diaz Canel",0
"Papu si nos tiran un ataque aunque lo repelamos van a haber bajas",-1
"Lo vi en Twitter yo sigo a Díaz Canel",0
"Esa gente son directores de parques inflables todavia estoy asombrado de lo q hicieron el 23 y de todo lo q prometieron q iba a pasar",-1
"Yo voy a la guerra si El dias y el rubio estan en mi escuadrón",0
"a partir de tercer año sobre todo lol esta canal esta genial para los interesados en hacer maestría y seguir investigando luego esto es tremenda oportunidad porque ya es batirse con la gente como tu que no les ponen proyectos interesantes o otra cosa",-1
"Q no se sepa en realidad hay potencial lo q no hay plata pa buscarlo",-1
"la probabilidad de un ataque a Cuba es minúscula por varios motivos 1 la comunidad internacional no tiene nada que ver el apoyo que tiene Cuba con el que tiene Venezuela en la ONU nada más vean las votaciones contra el bloqueo 2 porque hay 3 millones de cubanos fuera de Cuba que son quienes pagan la candidatura de Marco Rubio y casi nadie está dispuesto a una invasión armada porque son sus familiares en Cuba los que sufrirían 3 porque no tiene ningún sentido estratégico a diferencia de Venezuela Cuba es beneficiosa para Marco Rubio y compañía mientras haya un gobierno socialista porque eso es lo que les hace ganar elecciones mientras que Venezuela es beneficiosa con un gobierno pro USA porque eso es lo que les permite comprar petróleo barato",0
"No tiene nada que ver con la soberanía ni la legitimidad simplemente a Trump y compañía le conviene el status quo actual con Cuba y no van a hacer nada en serio por cambiarlo mientras que no les conviene el status quo actual con Venezuela porque les perjudica los intereses económicos",0
"Cualquiera que piense que esto tiene algo que ver con la democracia o la legitimidad es un chama",-1
"Es verdad algo grande sería muy difícil pero algunos disturbios sí que pueden hacer saboteos y cosas asi",-1
"Es verdad pero mucho más fácil todavía es soltar una guanajada en Twitter y tener a gente como nosotros preocupados por gusto y a gente que tiene trabajo que hacer por ejemplo el gobierno ocupados por gusto en planes de contingencia y gastando tiempo y recursos en un bluf",-1
"A mi me cuesta un Twitter pero te pongo a correr y prepararte",0
"Yo creo que lo que pretende EEUU es dar un poco de miedo en Venezuela para que el propio Maduro tome la iniciativa de irse No creo que un conflicto armado en America le convenga Incluso si con Venezuela es en serio no creo que sea así para con Cuba estoy de acuerdo con el profe cuando dice que no cree que vaya a pasar Estamos muy cerca de ellos Una gran guerra los afectaría mucho económicamente Trump ha dicho que su propósito al dejar el bloqueo económico es que el pais se ahogue y sea el propio pueblo quien se levante ellos llegarían a intervenir en caso de que el socialismo estuviese a punto de caer como lo hicieron hace años Tal vez me equivoque pero es mi opinión",0
"Nosotros preocupados y tal vez el tweet era pa verse rubio con diaz canel pa tomar ron y hacerse amiguitos lo q se le fue y no lo contacto por privado",0
"D Los pullover se encarga Roman Preguntale Yo no tengo nada q ver con eso Sorry x no podr ayudar",0
"O pegatinas lo que sea no tengo nada que diga que soy de MatCom menos el carné de MatCom",0
"Alguien me puede decir el sitio del lara o como llegar a la intranet de la uh o la facu",0
"Te gustaría que en la facultad se cree la página web MatCom News Noticiario MatCom la pagina estaría alimentada por la FEU principalmente por sus activistas y sería como un periódico digital donde se publicarán noticias logros y eventos relaciona anonymous poll",1
"No sé por qué no puso el texto entero este es el texto entero",0
"Te gustaría que en la facultad se cree la página web MatCom News Noticiario MatCom la pagina estaría alimentada por la FEU principalmente por sus activistas y sería como un periódico digital donde se publicarán noticias logros y eventos relacionados con la facultad sus estudiantes y profesores",1
"Por favor que algún admin ancle la encuesta",0
"Me gusta esa idea esa pincha es tuya man Avanza q yo le doy promoción",1
"Nunca antes mejor dicho literalmente es mía gracias",1
"Explícame mejor si quieres por privado",0
"Creo que ya entendí tu comentario pero desgraciadamente aunque quiera no puedo ayudar no tengo nada que ver con el correo de la facultad",-1
"Mujajaj ahora todos los q votaron si tienen q trabajar en el proyecto",0
"Lo que me da curiosidad es qué piensa de eso la única persona que votó no",0
"que lindo me gustaría la idea pero estoy si no te entiendo",0
"Tal vez es alguien q piensa q tendria q hacerlo el",0
"Todo el que esté interesado en aportar un granito de arena para la página MatCom News que me envíe un mensaje al privado Pueden aportar tirando código siendo redactor aportando información aportando ideas cualquier cosa será bienvenida Estamos abiertos a sugerencias y ayudas",1
"Ya no Es que no siempre tengo activos los datos",0
"Papa yo creo que ya han habido par de proyectos MUY parecidos a ese Habia un joven Matcom hace un par de años pero nunca prospero esta foros pero ya nadie lo usa por lo inestable que es Lo que digo es que deberias retroalimentarte de estas cosas si de verdad quieres hacer algo bueno",-1
"Yo mismo estuve vinculado a ambos proyectos",0
"Alguien tiene o sabe donde conseguir una foto con el nuevo logotipo de la facultad",0
"Alguien aquu del grupo de estadística",0
"People estoy localizando a Carlos Estael",0
"Asere estás hecho un policía tú primero a Estevanel y ahora a Carlos",0
"Lo está buscando feu UH por una cosa del festival de la clase",0
"Carlos Estael Error 404 Student not found",-1
"Estael Ah verdad ese el apellido de el No me acordaba",0
"Quienes estén interesados en ser reporteros del sitio MatCom News que me contacten por mensajes al privado Yo me encargaré de que ustedes tengan un resumen de la noticia con todo lo que sucedió ustedes solo tendrán que hacer el cuerpo de la noticia para que sea grata leerla La información será vista por una buena cantidad de personas así que es una gran oportunidad para sacar a ese escritor o periodista que llevas dentro",1
"Cuenta conmigo si quieres siempre me gustaron estas cosas",1
"tal vez es como siempre el bloqueo",-1
"Aunque técnicamente esa decision viene de cierto grupo de gente en el que ellos son un conjunto y no el todo",0
"Tengo una amistad cuya madre trabaja en ETECSA y es una de las encargadas de la capacitación de los programadores para la infraestructura de los datos móviles y tienen dinero para pasar cursos en Barcelona le están pagando cursos en Barcelona y pasajes a gente que no sabe programar y eso me lo dice ella misma que la UCI le manda gente que no tiene idea de lo que hace",-1
"No a la alcancía de la infraestructura",-1
"Yo tengo cuentos de ETECSA que no van a creer y experiencias de 1ra mano",-1
"Desde ese tipo de inversiones a códigos CAPTCHA que no revisan en el login de usuarios y les mandas ñañarita y se la traga el portal",-1
"El simple hecho de que los planes se compren por USSD ya me quita toda la confianza en que hagan las cosas bien o que sepan bien lo que están haciendo",-1
"Peloteo de la vida es el título de la 1era conferencia de 1er año en la carrera ETECSA el padre de las casas",-1
"Burocracia es el título de la 2da conferencia",-1
"Yo sé que tú eres el más fan de ETECSA y Cubacel",-1
"Ahí van los paquetes de internet",0
"Si se te caen los datos mándanos un tweet a nuestra cuenta de Wait a minute",0
"I know pero yo no lo tengo a él en mis contactos",0
"No se bien en que version de Telegram salio pero ya se puede añadir a cualquier a tus contactos sin necesidad de tener su numero En fin solo informacion",0
"No tengo su número ni su contacto de Telegram Lo intenté pero no apareció en la lista",0
"hahha ese es el deporte nacional el peloteo",-1
"En dónde En ETECSA Pues la verdad es que para nada",-1
"Si no tengo datos cómo doy la queja",-1
"nauta hogar wifi etecsa couta escuela",0
"Eso es un reto nos estan probando",0
"No tengo nauta hogar no tengo dinero pa comprarme horas no soy estudiante",-1
"Usted lo q es es una lacra social",-1
"ojala algun dia la gran mayoria no tenga que decir eso",-1
"Pst Martí pasó lógica muy bien Lo que quiere decir es que ojalá todos sean estudiantes",0
"Y si no estoy entre los elegidos del Nauta Hogar Pago 1 CUC por ir a sentarme bajo el sol a un parque",-1
"JAJAJAJAJA deja mejor no digo ninguna queja",0
"Papa claro q no sientate a la sombra",0
"Lamentablemente eso no está en mis manos",-1
"No hay arboles en tu parque al final el verdadero problema es la deforestación",-1
"Seguro que parte del dinero que me cobran es para reforestar",-1
"Nu es para viajes de capacitación pa Barcelona",-1
"Eso no era quemando eso en serio lo han hecho",-1
"A mí eso no me molesta tanto como otras cosas Por ejemplo el hecho de que todo sea vía USSD o que me cobren cosas sin avisar",-1
"al ultimo que deje cogio scroll de rage",-1
"Hehebe Yo estaba esperando pledges Pero no estan pa mi al parecer",-1
"para que no se de todas formas",0
"ATENCION LOS INTEGRANTES DEL EQUIPO DE PELOTA EL CAPITAN DE FILOSOFIA ESTA INTERESADO EN TOPAR CON NOSOTROS MAÑANA A LAS 3 00PM CONFIRMEN",0
"ETECSA informa a los clientes prepagos de telefonía móvil que a partir de hoy 9 de Octubre 2019 podrán solicitar la habilitación para el acceso a la red 4G LTE Para ello es necesario que los clientes posean un equipo terminal que soporte LTE en la frecuencia 1800 MHz y tengan una tarjeta USIM que podrán adquirir de no poseerla en las Oficinas Comerciales por un valor de 3 CUC Para habilitar el acceso deberán enviar desde su teléfono un SMS sin costo al 2266 con el texto LTE y una vez habilitado el cliente recibirá un mensaje de confirmación en su móvil Recordamos que el acceso a la 4G LTE solo será posible si el cliente se encuentra bajo su cobertura Hasta la fecha la tecnología de cuarta generación móvil tiene presencia en zonas de las provincias La Habana Matanzas Mayabeque Artemisa Camagüey Ciego de Ávila Holguín Granma Las Tunas Guantánamo y Santiago de Cuba En los próximos meses se irán incorporando el resto de los territorios Para mayor información pueden contactarnos",0
"Ño asere etecsa no afloja todo hay que pagárselo",-1
"La definición de una compañía es hacer dinero",0
"Pero Monopolizando todo y sacrificando calidad Es muy fácil",-1
"Igual la compañía subrayo la es la madre de las casas así ponga la tarjeta en 3cuc en 1cuc o en 30cuc no tienes de otra que comprarla",-1
"Porque concuerdo con la definición pero incompleta pues haces dinero si eres monopolio o ofreces calidad y evidentemente etecsa entra en la segunda opción creo",-1
"Pero tendría que usar mi propio proveedor de hardware no",0
"igual que nosotros para hostearlo tendríamos que usar nuestro propio hardware eso no está trivial",0
"Hosteenlo en los servidores de Etecsa",0
"Yo realmente lo que quiero hacer es integrar CecilIA en un proyecto por ser Cecilia y de ustedes No es necesario es opcional pero me gustaría integrarlo en algún momento",0
"falta el fine tuning y también cuantización ya después de eso debes poderlo usar",0
"Yo creo que esa imagen tiene potencial para ser el próximo chill guy af",0
"Un Lumbreano salvaje ha aparecido",0
"Un nuevo ministro de evangelización del Outer Wilds Qué bueno saber que tengo reemplazo en la facultad",0
"Hola buenas noches tengo una duda Como los nuevos ingresados a la Universidad pueden obtener las 2 recargas de saldo desde Transfermovil",0
"ETECSA informa Ud ha sido habilitado para adquirir el Plan Sectorial estudiante Compre por Transfermovil o servicios en linea Informacion",0
"Habrá que esperar todavía a que se asienten los datos de los estudiantes en el sistema porque hasta que no se haga el cierre de matrícula a nivel de UH no se pueden visualizar",0
"Esto será en el transcurso del mes en lo que la universidad haga su cierre Igualmente los estudiantes deben haber dado su móvil personal con la línea a su nombre De lo contrario deberán cambiar la titularidad de la línea",0
"Igualmente habrá que esperar a que etecsa hale los datos del sistema de la universidad para que puedan actualizar sus BD Esto lo hacen ellos unilateralmente",0
"Resulta que yo tengo esa misma duda pero con los que ya están en la carrera",0
"Fuera de eso no sé más nada La única info que han dado al respecto en la UH es el correo ese que compartí",0
"No solo eso Me imagino q en etecsa esten esperando a que se matricule todo el mundo para hacer la actualización de su base d datos ni idea Es un problema q tienen tambien en otras facultades",-1
"Familia para los otros años q no son 1ro hay q rematricularse",0
"Sí TODOS los estudiantes de todos los años tienen que hacer la re matrícula",0
"Se les informará más adelante los horarios por cada año y carrera",0
"En mi caso en la universidad di un número que no está a mi nombre y ahora tengo un número diferente que si está a mi nombre que tengo que hacer",0
"Cuando hagas la re matrícula en la secretaría docente actualizas tu número de teléfono",0
"Cuándo ponen el horario de quinto año de computación",0
"Lunes a sábado de 8 a 5 domingos alternos Tres madrugadas a la semana No hay fin de año ni semana de receso en abril solo dos días al semestre por enfermedad y uno por resaca Vaya lo mismo que 4to",-1
"uno solo por resaca no parece justo",-1
"yo puedo controlar las veces q me enfermo pero las resacas no",0
"Mauri nunca dejes de escribir por el grupo te queremos",1
"Vida laboral le llaman algunos",0
"El q llega a quinto es xq quiere",0
"Después dicen que no asusten a los de 1ro pero con los de 5to nadie tiene consideración",-1
"Yo pensaba que 5to ya no existía",0
"Nooooo no cuestiones mis alucinaciones",0
"Donde están los de nuevo ingreso que entre que entren",0
"yo soy de 5to no joke creo q soy el unico que queda",0
"Pichardo Mauro Vianney y demás que preguntaron sobre esto",0
"Miren lo que publicaron hoy en el canal de la FEU de la UH sobre los datos de ETECSA",0
"ya pasaron las 5 fases del duelo desde lo de ETECSA xd",-1
"a mi me dieron una tarjetica de recarga de 20 cuc por un proyecto que según las bd de etecsa son válidas y cuando le dije a la señora de etecsa que me pusiera la recarga me dijo que no lo establecido en el mes son 360 pesos que no podía ponerme el dinero de la tarjetica volví a la fase 1 pero con sentimientos violentos pero respetuosos",-1
"En caso de alguien que actualizó en julio su número telefónico en secretaría a uno del que sí es titular pero nunca hizo ningún trámite con ETECSA porque no era lo pertinente y todavía no tiene habilitado el servicio cuál es el proceder No me queda claro pues esto parece más un reporte de errores específicamente del proceso de cambio de titularidad que de la prestación del servicio completo",-1
"Fíjate que hay un formulario para reportes",0
"Formulario q me pide la oficina de etecsa en que me atendieron y en qué fecha como dato obligatorio Pudiera haber introducido datos random pero preferí preguntar primero",-1
"Esto debería dar respuesta a la interrogante Pero bueno sh happens",-1
"O sea seguir esperando pacientemente",-1
"O OR XOR Ir a una oficina de ETECSA hacer el reporte y luego llenar el formulario con los datos reales",0
"Que por supuesto puede ser en la Biblioteca Central de la UH en la flamante nueva oficina que inauguraron hoy",0
"n correo de la UH para atender los casos de ETECSA",0
"Este es el mecanismo que estableció la UH para atender los casos relacionados con el plan sectorial",0
"Y q se supone q ponga ahí q no me han puesto el plan sectorial y mi número",-1
"Revisa que no te hayan dado baja del correo de estudiantes",0
"Cada vez que lo llaman por este nombre me da un patatús",-1
"Por cierto vieron como los de Etecsa multiplicaron sus ganancias como x2400",-1
"Pp pero cuando tu les revisas las manos la ropa q usan la higiene Te das cuenta de que no hay problemas de infraestructura Son antenas disfrazadas de baja pa no contribuir a la conectividad del pais",-1
"me encanta como hablan de recuperacion de infraestructura pero no de restablecimiento precios acordes a los ingresos de la poblacion",-1
"Qué es exportar servicios de telecomunicaciones Quién de afuera quiere a etecsa como su compañía telefónica",-1
"exportan servicios a la Isla de la Juventud",0
"Por cierto dicen que las inconformidades han sido atendidas",0
"btw se echaron lo de la ministra de trabajo",0
"Sí la tratan como si su crimen fuera el pior de los recientes",-1
"Yo pensé que tu preguntabas que si se la habían echado ya sabes",0
"igual que no existen mendigos en cuba xD",-1
"Ah los 10K anteriores son diarios",0
"yo lo que sigo sin entender es como antes 18 de cada 20 dolares segun ellos no llegaban a etecsa y ahora si",-1
"Sino estás hablando en el aire gritándole a las nubes",-1
"No necesariamente Lo puedes multar Puedes irte full Trump y meterle tarifas que garanticen que cada equipo de esos ayude a sanar la herida Pero si se roban ese dinero no hay nada que hacer",-1
"El no hay nada que hacer es la actitud más conformista que se puede tener si me lo preguntas",-1
"Eso me parece una solución válida",0
"Puedes poner licencias de uso E incluso cobrarlas con un descaradisimo tax al uso del espacio electromagnetico",0
"Pero habría que ver el tamaño de los impuestos",0
"Como es esto diferente de mi propuesta",0
"Si hay cosas que hacer Pero si no quitas a los ladrones no puedes empezar a hacer nada",-1
"Yo hablo de licencia de uso de starlink",0
"Tu hablabas de licencia de vender paquetes y servicios de etecsa",0
"Y la infraestructura que requiere eso",0
"A esta lógica también se le puede aplicar que van a robarse el dinero y ya",-1
"Por eso Primero quitar a los ladrones Luego medidas",0
"Lo que te dije ahorita que haya que hacer una cosa no quita que no haya que hacer la otra",0
"Tu puedes ir pensando medidas para los dos problemas",0
"Por circunstancias históricas yo tampoco nunca pensé ver a la FEU manifestándose",0
"Si Pero las medidas si no quitas a los ladrones no tienen sentido",-1
"No creo que nadie esté en contra a quitar ladrones a excepción de los ladrones",0
"Añadiendo aqui Los médicos que viraron de Venezuela en su momento vieron de un día pal otro que les dijeron Tus usd en el banco ahora son cuc El robo no solo ha sido a entidades extranjeras El pueblo de cuba también lo ha sufrido muchisimo",-1
"El último gran robo fue el reordenamiento donde se decidió convertir la riqueza acumulada de la mayoria en 0",-1
"Tengo entendido que no es legal o que mínimo no hay las vías legales para hacerlo",-1
"Bueno rey ilumineme porque no hay otra empresa",0
"Para ahora ahora mismo no lo creo",0
"De donde va a salir el dinero y la infraestructura de eso",0
"Según DC Nadie valora el esfuerzo que se hace en Cuba En ningun país del mundo el gobierno se esfuerza por garantizar que todas las personas reciban su cuota a un precio alcanzable Fácil es dejar que el mercado domine con esquemas neoliberales No es una cita No recuerdo sus palabras exactas En fin la narrativa es que el mercado es injusto Y lo justo es lo que hay en Cuba",-1
"eso seria una buena propuesta si y solo si vienes con todo lo que vas a hacer para crearla ponerla a funcionar y hacerla sostenible si no vienes con eso es tirar una piedra al aire no se si me hago entender",-1
"Mi propuesta de MIPYMES que se encarguen de gestionar los datos nace de ahí que hacer otra empresa de telecomunicaciones no me parece realista pero gente que monte la infraestructura ellos mismos o con equipos comprados a Etecsa si me parece súper realista",0
"Donde veo que puede fallar es en la rentabilidad",0
"Bueno estamos de acuerdo entonces",0
"yo pienso que a precios razonables se pueden hacer cosas lo que parte de que ellos sean legales y quieran hacerlo spoiler tu sae pueden dar servicios de fibra como hacen a la universidad a mipymes y sacar provecho cobrar en dolares y que el mipymero se encargue del mercado negro",0
"Yo no entiendo en que espacio cabe ahí un inversor para serte sincero Me parece que tu hablas de algo asi como Mint Mobile o Google Fi y etecsa siendo T Mobile No se como eso arreglaría nada la verdah",-1
"Exacto que de MIPYMES a ETECSA el pago sea en dólares del cliente a la MIPYME en cualquier moneda",0
"Digo inversor como alguien dispuesto a dar dinero para montar un negocio nada mas",0
"Me explicas lo de Google Fi y Mint Desconozco realmente",0
"Pero eso solo pasa en caso de haya márgenes Tendría que haber dinero para que el inversor y pa que etecsa viva",0
"Te refieres a que tendría que ser rentable",0
"Son gente que le paga a redes grandes para usar sus torres y servicios como alquiladas Ellos dan el servicio pero la infraestructura no es de ellos",0
"Fíjate que una cadena con mas pasos requiere mas dinero en el sistema",0
"Si me refiero a eso mismo la solución que le veo es que bueno Etecsa necesita dinero eso es una entrada de dinero",0
"Unju por eso digo que no se si sea rentable pero me parece sensato analizar",0
"Cuando vengas a ver la licencia que tendria que vender eteca sería absurdamente cara para ser rentable",-1
"La idea no es que las empresas vayan a vender datos a un costo más barato que Etecsa y con la misma calidad porque entonces de donde sale la ganancia sino que van a ingeniárselas para crear paquetes de datos más rentables colo decía anteriormente cosas como acceso solo a redes específicas o menos velocidad pero más datos",0
"La responsabilidad de crear nuevos paquetes de datos no caería en Etecsa",0
"Caería en ellos la responsabilidad de aprobarlos y venderlos O de hacer megapaquetes para estas empresas que sugieres",0
"Claro que hay que hacer muchísimas regulaciones por eso decía que es a largo plazo",0
"Depende a cuánto se lo cobren a las empresas",0
"Pero Loitzel ninguna propuesta es buena mientras los ladrones sigan robando",-1
"Papa estoy de acuerdo pero al menos yo para el problema del desvío de dinero no tengo solución ahora mismo",-1
"Que la ahí y está por ahí pero no la tengo",-1
"Literalmente puedes ponerlos a implementar el mejor plan del mundo De nada va a servir si hay corrupción involucrada",-1
"Con respecto a eso lo único que me viene a la mente es que si tenemos TODOS los datos a nuestra disposición eso se verá pero la condición está fuerye",0
"Usualmente poner un intermediario lo que hace es incrementar los precios del producto porque el intermediario tiene que sacar algo Si incrementan los precios del producto usualmente vendes menos Los pocos que he visto que venden al mismo precio que ETECSA o más barato es porque probablemente andan en algún tipo de negocio de remesas",0
"Eso lo considero vender a más precio que Etecsa no les daría negocio porque nadie utilizaría sus servicios pero vender a menos precios paquetes que objetivamente tienen menos cosas redes o velocidad ya podría ser rentable",0
"Mira te lo planteo así imagina que tú eres el dueño de una MIPYME y etecsa te da la oportunidad de vender paquetes claramente no puedes vender los mismos paquetes a menos precio",0
"Que harías para que tu negocio sea rentable",0
"La MIPYME no puede dar la misma oferta eso lo tengo claro pero en el proceso de ver cómo puede sacar dinero tiene que pensar en ofertas que le sean rentables Etecsa simplemente le cobra a esa MIPYME el uso de su infraestructura",0
"Starlink es una idea super sexy Ayudas a la red quitandole carga Puedes usar la posición de monopolios pa meterle impuesto hasta porque si pa ayudar a subvencionar el Internet de los pobres de este mundo Una pena que eso te deje sin el control qué quieres y que no lo vayas a implementar porque tienes mas miedo que clientes",-1
"Además si luego elito se molesta y tumba la conexión tendrán que hacer huelga las universidades de Texas porque no fue culpa tuya",-1
"Realmente si ahí el lío son las implicaciones políticas",0
"Tu me dices que cualquier oferta más atractiva que haga una MIPYME también la puede hacer etecsa no",0
"La solución de Starlink es la más sencilla por temas políticos y de planificación prefieren que pase por su filtro y si la idea es captar divisas para pagar una deuda millonaria es evidente que el Estado querrá participar activamente en el cobro no tanto así en la ideación",0
"Mira mi lógica La responsabilidad de crear paquetes atractivos y rentables queda en la MIPYME si no les sale bien son ellos quienes pierden dinero no ETECSA te cobra lo mismo independientemente de cuan bien te vaya Gestionar nuevas ofertas y tráfico requiere de una gestión y una infraestructura lo cual requiere una inversión monetaria esa inversión monetaria ya no quedaría por parte de ETECSA sino por parte de la MIPYME La MIPYME puede ser un rotundo fracaso pero si cierra no pasa nada si ETECSA cierra el país entero se queda sin telecomunicaciones",0
"Osea como funcionan los distribuidores internacionales de etecsa",0
"Los datos que nos tienen que proveer",0
"No Conectarse a la red de etecsa invoca varios problemas Necesidad de inversión en esa infraestructura problemas con la empresa que preste el servicio y falta de motivación Quien la palabra vulgar que prefieras va a regalarle equipos a etecsa para que ellos hagan lo que entiendan con ellos",-1
"Como diria mi amigo bukelin Cuando nadie roba el dinero alcanza Esa es la primera solución A partir de ahí se puede construir futuro",0
"El país entero jamás se quedará sin telecomunicaciones sino que los sectores no priorizados los militares siempre tendrán Internet así como periodistas y etc Me gustaría pensar que la universidad sería un sector priorizado pero pueden apelar a la clásica de que en el pasado se graduaban sin acceso a Internet",-1
"Entiendes a lo que me refiero las personas el pueblo",0
"Pregunta la única opcion de ese estilo que hay es Starlink",0
"O sea Me dices que etecsa les va a pagar a las mipymes el uso de sus antenas satelitales",0
"Él lo que te está diciendo es que de por sí las ofertas de Etecsa no tienen sentido Entonces dado que Etecsa no sabe NADA de marketing o negocios Él propone que las mypimes se encarguen de esa parte básicamente",-1
"Pero a nivel de estado no es una opción no",0
"No digo que no sepan de marketing y negocio pero es que no tienen competencia",0
"Yo creo que te entiendo Pero meh",0
"Papa y el tema bloqueo Eloncito se va a meter en esa candela",0
"Papa tampoco digo que sea LA solución lo que me hace sentido",0
"Ahora anda peleado con el novio no se que tan dispuesto este Xd",0
"O sea digo que elito no va a permitir que ningún proveedor de Internet use sus antenas asi",0
"Eso acabaría con la velocidad de la red global",-1
"Pa decirlo tendría yo que saber más marketing que ellos y eso sí tengo claro que no lo se",0
"En esa candela no me voy a meter rey le seguiré diciendo bloqueo xoxo",0
"La capacidad de la red está sobrevendida suponiendo que no todos usan el maximo del ancho de banda al mismo tiempo Una conexión de ese tipo tendría maxeado el ancho de banda todo el rato",-1
"He dado exactamente 0 clases de marketing",0
"En Etecsa hay alguien que ha dado más clases de marketing que yo",0
"Además de que elito no se prestaría pa la censura que etecsa pondria",-1
"Ellos han dado un número negativo de eso",-1
"Por eso taxea hasta el alma pero no controles",-1
"Ah no pero por eso no te guies de que sirve que den las clases si no aprenden nada",-1
"En fin en Cuba no soltaran el monopolio de la información tan fácil so eso no sucedera",-1
"Solo digo que no tengo las bases para hablar con propiedad Man es como si me pusiera a hablar de economía ahora no hay ninguna vergüenza en decir que no se",0
"Como combatir la inflación Ni idea",0
"Los clientes son los que son los mismos que mes a mes recargan a sus familiares desde el exterior por las múltiples vías que existen si con el volumen de recargas que reciben son incapaces de mantener su infraestructura los que planifican son bien mediocres más aún si tenemos en cuenta que hace 4 años tenían potencialmente 400k usuarios de más",-1
"Mediocridad no es la palabras La palabra es robo",-1
"Pero starlink paga algo a los países donde operan Osea por usar el servicio Xq en importacion de las antenas y eso sí",0
"Cuando estos son los principios en los que te basas para hacer relaciones no llegas muy lejos El robo y el engaño están mal Ser pobre no justifica la pérdida de los valores mas básico de la convivencia",-1
"Si para operar en cualquier país tiene que pagar impuestos sobre la venta del servicio Ademas de la importación de los equipos",0
"A ver de las cosas parecidas a este esquema que yo puedo ver rentables son 1 Que ETECSA venda recargas por cantidad a particulares a menor precio si la recarga cuesta 22USD pues a Juan por comprar 100 le cuestan 20USD y ya Juan se encarga de comercializarlas al precio que crea ETECSA no pierde dinero porque ya Juan pagó de antemano Quizás con este esquema los particulares podrían negociar con ETECSA en plan Yo quiero comercializar un paquete que traiga A B y C bonificaciones ETECSA calcula el precio base y la cantidad mínima de recargas que tendría que comprar Ahora ponerse de acuerdo con toda la cadena de mando y asumir que dentro de ETECSA pueden llevar estudios de viabilidad económica para un paquete arbitrario viendo la situación que hay ahora me parece soñar 2 Links de referidos tu recargas por Ding porque Juan te recomendó entonces Juan se lleva 0 50 USD o algo así",0
"En la práctica este país no puede controlar los impuestos ni de los arrendadores Es lo que tiene que no haya un red bancaria para pagar en USD y todo se haga con efectivo Hasta en países del primer mundo tienen problemas para lidiar con la economía gris que es full cash",-1
"Yo no hablo de impuestos a Elon Hablo de impuestos a los cubanos",0
"Esos se los pueden cobrar en dolar marciano si quieren",0
"Ajá cuando el cubano le cobre a otro 20USD en cash cómo la ONAT lo va a saber",-1
"No tiene manera Por eso Le cobras con ensañamiento al que trae el equipo y luego le metes un impuesto de uso del equipo al mes mas ensañado aun",-1
"Tax por uso del espacio electromagnético",0
"No es perfecto no es ni bueno Pero mejor que nada",0
"El lío es que tienes que calcular que ese tax te permita amortizar todas las recargas internacionales que ahora se pierden porque hay gente vendiendo internet",0
"La gracia ahí es que ETECSA garantiza que Juan pague 100 recargas y les llega el dinero seguro Si Juan vende solo 80 es su problema",0
"Pero bueno Tu siempre puedes prohibirle a la gente que tire cables de una casa pa otra y cosas asi Algo asi como tienes derecho a conectar un inmueble y bajanda",0
"El estado monopoliza la violencia asi que pueden hacer lo que entiendan",0
"a lo mejor Juan compra más en oferta q lo q hubieran comprado y sumado la gente en primer lugar",0
"es verdad q Juan se beneficia pero si no lo hace ETECSA vende menos el perjuicio ahí es pensar",0
"Además que como Juan metió dinero de su bolsillo ahora va a tener incentivos para moverse y vender todas las recargas",0
"Si vende todas las recargas se expande la base de consumidores",0
"El lío es que tienen que hacer cálculos de vdd para saber cuánto es rentable",0
"Además que este negocio se combina fácil con el de remesas Yo le pago a ETECSA desde afuera 1800 USD por 100 recargas eso me da a mi el potencial de obtener 2000USD en cash en Cuba que luego puedes usar para poner remesas y sacar quizás 3USD cada 100USD luego por 1800 USD puedes llegar a sacar 260 de beneficio",0
"No sabes que le pasa quizás a ETECSA le conviene más que Juan le de 1800USD desde afuera a intentar vender ellos a 22USD y solo obtener 1600",0
"Posee el 100 de los usuarios pero esos usuarios no son seguros de que paguen nada",0
"Yo te puedo decir que no quiero recargar a 22 USD pero si un intermediario la compra a 18 y me la vende en 20 yo la compro",0
"Pero el intermediario te da liquidez segura e inmediata Si tu firmas un contrato con alguien donde Juan te compra 1800USD de recargas al mes tu sabes que al final del año te van a comprar 21600USD y esos son fijos Si no pues véndelas tú y mira a ver lo que sacas",0
